Influencer insta name,category_1,category_2,Followers,Audience country(mostly),Authentic engagement,Engagement avg,Engagement ratio
paulwesley,Cinema & Actors/actresses,,12200000,Brazil,640000,958000,0.6681
amybethmcnulty,Lifestyle,Cinema & Actors/actresses,6300000,Brazil,561400,771300,0.7279
jaybnow.hr,Music,,6600000,Brazil,561300,731700,0.7671
anitta,Music,,61100000,Brazil,542800,1000000,0.5428
joeyking,Music,Cinema & Actors/actresses,19100000,Brazil,541100,774100,0.6990
perrieedwards,Modeling,,14500000,Brazil,523100,816700,0.6405
gianlucavacchi,Lifestyle,,22200000,Brazil,511400,787200,0.6496
loud_victor,Lifestyle,Sports with a ball,10400000,Brazil,511200,652300,0.7837
brunamarquezine,Cinema & Actors/actresses,,42600000,Brazil,485200,837200,0.5796
taina,Music,,15600000,Brazil,478300,998900,0.4788
phil.coutinho,Sports with a ball,,24500000,Brazil,456200,740900,0.6157
gatenm123,Music,Cinema & Actors/actresses,13600000,Brazil,449500,594100,0.7566
carlinhosmaiaof,Lifestyle,,24800000,Brazil,441900,810700,0.5451
vindiesel,Cinema & Actors/actresses,,79000000,Brazil,440500,568500,0.7748
strangerthingstv,Cinema & Actors/actresses,Shows,15600000,Brazil,433200,579500,0.7475
therealjosephmorgan,Cinema & Actors/actresses,Lifestyle,7800000,Brazil,411300,514100,0.8000
willevy,Shows,Cinema & Actors/actresses,10200000,Brazil,382900,514400,0.7444
jadepicon,Modeling,Fashion,19400000,Brazil,375200,818400,0.4585
alishalehmann7,Sports with a ball,,6800000,Brazil,373800,705300,0.5300
cocielo,Cinema & Actors/actresses,,17800000,Brazil,360600,564800,0.6385
paulpogba,Sports with a ball,,52800000,Brazil,353400,628500,0.5623
maisa,Music,,42000000,Brazil,343700,468000,0.7344
grantgust,Cinema & Actors/actresses,Fashion,7800000,Brazil,343400,487300,0.7047
brunomars,Music,,24900000,Brazil,328700,499000,0.6587
simoneses,Music,,33700000,Brazil,327800,412200,0.7952
camila_cabello,Music,,60900000,Brazil,305400,418100,0.7304
lucas_lira,Humor & Fun & Happiness,Lifestyle,5800000,Brazil,296500,434300,0.6827
psg,Sports with a ball,,58000000,Brazil,295800,495000,0.5976
ellenpompeo,Cinema & Actors/actresses,Lifestyle,10000000,Brazil,285800,495800,0.5764
jaimelorentelo,Cinema & Actors/actresses,,14500000,Brazil,285100,381800,0.7467
lanacondor,Cinema & Actors/actresses,,10900000,Brazil,283000,385700,0.7337
gabigol,Sports with a ball,,9600000,Brazil,282000,427000,0.6604
leighannepinnock,Music,,8500000,Brazil,279100,398000,0.7013
therealcalebmclaughlin,Cinema & Actors/actresses,Lifestyle,11100000,Brazil,278700,398600,0.6992
zefelipecantor,Music,,23100000,Brazil,278100,487800,0.5701
angelinajolie,Lifestyle,,12600000,Brazil,274600,456100,0.6021
gisele,Modeling,Fashion,18900000,Brazil,274600,408000,0.6730
coldplay,Music,,15400000,Brazil,274000,381300,0.7186
aron.piper,Music,Lifestyle,13900000,Brazil,273100,515600,0.5297
valentinazenere,Modeling,Lifestyle,8500000,Brazil,259000,315400,0.8212
chaelincl,Art/Artists,Fashion,9800000,Brazil,259000,342500,0.7562
sthefanematos,Lifestyle,,9700000,Brazil,256800,590200,0.4351
championsleague,Sports with a ball,,91400000,Brazil,255300,344400,0.7413
alok,Music,Art/Artists,27000000,Brazil,249600,319900,0.7802
angeliqueboyer,Shows,Cinema & Actors/actresses,13900000,Brazil,247400,310600,0.7965
melissamelmaia,Music,,11500000,Brazil,245100,444100,0.5519
luissuarez9,Sports with a ball,,43000000,Brazil,238800,356500,0.6698
bypamella,Shows,,9400000,Brazil,237700,406800,0.5843
aleoliveiracm,Humor & Fun & Happiness,,8300001,Brazil,235800,598400,0.3941
deiveleonardo,Literature & Journalism,Trainers & Coaches,10800000,Brazil,234300,431400,0.5431
katyperry,Music,,156600000,Brazil,231800,302600,0.7660
mirella,Music,,26600000,Brazil,230400,486700,0.4734
e_milygarcia,Cinema & Actors/actresses,,11000000,Brazil,230100,380500,0.6047
huddy,Lifestyle,Art/Artists,11900000,Brazil,228400,317800,0.7187
rafaeluccman,Lifestyle,Modeling,8600000,Brazil,227100,472900,0.4802
simaria,Music,,27600000,Brazil,223500,326200,0.6852
l7nnon,Lifestyle,Shows,6300000,Brazil,214000,507900,0.4213
mirandacosgrove,Music,Cinema & Actors/actresses,9800000,Brazil,213500,333600,0.6400
soyneiva,Adult content,,11400000,Brazil,212900,285900,0.7447
jorgelopez_as,Cinema & Actors/actresses,,9700000,Brazil,211300,346300,0.6102
avrillavigne,Music,Cinema & Actors/actresses,10700000,Brazil,211200,263000,0.8030
